Alexander City,1,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Andalusia,1,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Anniston,1,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Athens,1,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Atmore,1,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Auburn,1,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Bessemer,1,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Birmingham,1,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Chickasaw,1,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Clanton,1,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Cullman,1,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Decatur,1,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Demopolis,1,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Dothan,1,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Enterprise,1,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Eufaula,1,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Florence,1,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Fort Payne,1,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Gadsden,1,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Greenville,1,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Guntersville,1,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Huntsville,1,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Jasper,1,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Marion,1,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Mobile,1,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Montgomery,1,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Opelika,1,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Ozark,1,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Phenix City,1,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Prichard,1,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Scottsboro,1,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Selma,1,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Sheffield,1,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Sylacauga,1,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Talladega,1,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Troy,1,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Tuscaloosa,1,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Tuscumbia,1,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Tuskegee,1,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Anchorage,2,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Cordova,2,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Fairbanks,2,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Haines,2,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Homer,2,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Juneau,2,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Ketchikan,2,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Kodiak,2,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Kotzebue,2,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Nome,2,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Palmer,2,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Seward,2,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Sitka,2,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Skagway,2,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Valdez,2,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Ajo,3,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Avondale,3,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Bisbee,3,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Casa Grande,3,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Chandler,3,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Clifton,3,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Douglas,3,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Flagstaff,3,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Florence,3,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Gila Bend,3,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Glendale,3,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Globe,3,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Kingman,3,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Lake Havasu City,3,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Mesa,3,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Nogales,3,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Oraibi,3,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Phoenix,3,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Prescott,3,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Scottsdale,3,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Sierra Vista,3,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Tempe,3,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Tombstone,3,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Tucson,3,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Walpi,3,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Window Rock,3,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
Winslow,3,Sunny,7/07/2020  20:00:00 PM,F,7/07/2020  20:02:00 PM,T
